"station_id","End.Station.Id","count"
7101,7291,27
7040,7180,11
7048,7077,13
7387,7338,4
7333,7046,10
7545,7203,6
7079,7044,22
7458,7389,3
7582,7650,2
7035,7534,22
7035,7160,24
7543,7416,4
7335,7280,4
7002,7026,34
7161,7027,43
7235,7030,11
7046,7360,4
7043,7270,2
7067,7045,14
7014,7001,16
7540,7281,3
7197,7633,11
7043,7028,4
7620,7677,2
7038,7195,4
7063,7026,34
7453,7311,13
7536,7451,14
7328,7540,2
7022,7112,9
7180,7154,2
7076,7211,20
7138,7453,1
7321,7004,19
7494,7007,4
7321,7023,3
7260,7333,30
7041,7037,7
7452,7089,36
7067,7391,16
7073,7065,2
7362,7078,3
7048,7400,34
7260,7176,22
7283,7031,1
7184,7196,22
7475,7061,2
7002,7006,37
7248,7272,14
7002,7155,15
7197,7496,1
7381,7236,2
7184,7206,8
7160,7523,34
7286,7350,2
7038,7192,18
7272,7281,15
7196,7173,2
7285,7385,9
7547,7375,1
7012,7523,7
7131,7375,1
7285,7189,23
7026,7012,28
7537,7038,2
7115,7105,3
7324,7366,22
7164,7033,18
7253,7398,47
7171,7324,30
7633,7178,5
7240,7627,31
7196,7099,1
7389,7311,13
7024,7163,17
7389,7406,50
7203,7569,40
7503,7068,19
7271,7261,4
7473,7248,12
7668,7030,25
7102,7493,6
7462,7067,44
7281,7311,41
7127,7128,1
7252,7207,8
7195,7037,12
7537,7035,9
7536,7027,30
7320,7253,21
7163,7452,7
7457,7030,13
7184,7386,7
7036,7100,5
7012,7207,16
7160,7366,14
7029,7001,9
7646,7546,4
7078,7406,4
7037,7366,24
7346,7181,11
7038,7660,10
7094,7271,2
7368,7675,28
7264,7115,13
7541,7006,2
7157,7526,12
7534,7479,1
7548,7257,10
7088,7001,5
7546,7161,2
7045,7462,10
7404,7029,8
7006,7190,40
7000,7020,12
7123,7469,5
7366,7043,7
7174,7529,9
7043,7172,45
7043,7067,17
7345,7014,3
7276,7026,3
7162,7009,3
7657,7398,3
7462,7575,7
7281,7006,54
7030,7391,14
7154,7418,4
7022,7143,4
7335,7240,6
7660,7272,10
7055,7346,9
7205,7542,11
7391,7058,1
7026,7264,12
7207,7040,16
7184,7437,18
7410,7016,5
7024,7452,23
7148,7197,16
7033,7059,104
7109,7006,5
7052,7443,7
7660,7537,2
7569,7004,2
7059,7322,17
7078,7154,11
7322,7035,33
7000,7366,15
7048,7253,5
7346,7103,37
7208,7153,65
7123,7205,9
7071,7469,11
7252,7030,10
7252,7048,2
7655,7431,11
7575,7462,21
7257,7267,13
7418,7409,12
7250,7061,30
7020,7208,1
7056,7260,3
7014,7024,3
7323,7366,10
7054,7399,11
7163,7269,20
7571,7605,2
7006,7004,46
7190,7002,38
7281,7155,25
7024,7190,9
7131,7130,41
7418,7108,4
7043,7271,2
7366,7176,11
7199,7184,26
7043,7126,7
7269,7014,11
7524,7211,13
7391,7079,12
7038,7508,22
7292,7502,11
7542,7207,19
7505,7291,21
7311,7577,10
7398,7048,7
7044,7619,1
7311,7164,35
7246,7022,12
7164,7055,23
7043,7657,7
7002,7161,84
7102,7263,17
7048,7267,3
7273,7409,7
7333,7108,24
7261,7065,7
7174,7183,9
7164,7045,17
7311,7272,21
7131,7526,5
7247,7231,3
7157,7675,15
7657,7311,11
7502,7639,1
7103,7475,10
7545,7176,7
7240,7205,13
7115,7452,4
7054,7657,6
7462,7398,22
7272,7273,8
7263,7311,7
7184,7192,22
7322,7209,6
7409,7089,94
7552,7225,2
7536,7156,7
7437,7205,32
7048,7043,9
7073,7036,6
7272,7668,16
7271,7549,5
7271,7311,31
7542,7524,50
7467,7077,11
7044,7114,29
7281,7332,2
7599,7263,13
7248,7121,17
7272,7475,17
7205,7240,11
7114,7286,31
7209,7339,4
7006,7193,2
7061,7281,20
7524,7466,1
7600,7273,7
7549,7346,2
7050,7657,4
7271,7272,19
7273,7131,9
7248,7385,21
7195,7542,14
7493,7253,2
7007,7260,18
7657,7025,1
7061,7024,4
7400,7272,2
7025,7453,8
7140,7542,8
7398,7417,6
7398,7253,16
7453,7657,2
7246,7418,64
7569,7430,56
7131,7246,13
7007,7297,4
7467,7014,2
7323,7360,1
7022,7272,10
7418,7458,11
7542,7536,17
7190,7035,7
7263,7006,24
7006,7078,103
7164,7389,12
7267,7008,3
7053,7534,8
7286,7121,17
7383,7475,4
7600,7079,11
7271,7409,36
7453,7121,23
7077,7246,21
7246,7271,40
7542,7164,9
7356,7153,1
7160,7559,9
7006,7542,25
7417,7162,1
7271,7008,11
7006,7195,11
7309,7313,5
7001,7089,59
7381,7285,5
7102,7536,27
7458,7475,10
7151,7322,7
7168,7462,37
7600,7252,8
7067,7226,16
7385,7228,1
7189,7450,1
7069,7542,23
7008,7121,7
7089,7549,6
7120,7047,14
7153,7522,15
7522,7662,1
7272,7003,6
7162,7443,1
7542,7112,18
7662,7522,2
7657,7321,1
7311,7462,31
7024,7033,32
7059,7462,35
7430,7440,40
7035,7037,6
7246,7209,3
7007,7192,4
7067,7536,2
7240,7204,62
7671,7594,14
7443,7163,2
7389,7400,37
7404,7381,18
7160,7148,65
7079,7052,20
7100,7203,22
7542,7163,18
7467,7102,77
7108,7357,6
7115,7141,5
7026,7432,14
7002,7204,13
7549,7101,14
7642,7029,4
7272,7572,1
7211,7467,13
7163,7462,44
7192,7430,8
7276,7052,3
7389,7162,4
7240,7427,4
7580,7332,9
7189,7012,67
7261,7203,73
7337,7045,24
7322,7430,66
7207,7430,8
7071,7321,2
7311,7045,50
7181,7057,3
7172,7188,4
7160,7430,5
7422,7005,15
7332,7088,15
7245,7203,12
7132,7129,8
7572,7604,5
7041,7169,19
7549,7163,5
7076,7227,46
7104,7059,25
7045,7168,10
7389,7344,6
7178,7263,18
7026,7037,5
7055,7542,24
7205,7057,14
7327,7269,1
7474,7104,4
7281,7538,5
7155,7072,8
7146,7162,2
7451,7417,4
7641,7174,27
7639,7045,3
7114,7063,11
7264,7427,4
7044,7469,4
7256,7072,4
7268,7406,5
7077,7432,19
7044,7052,27
7505,7321,6
7654,7178,4
7388,7577,19
7016,7064,26
7114,7462,28
7418,7040,3
7336,7118,9
7040,7037,5
7367,7391,12
7072,7207,13
7124,7576,13
7327,7204,11
7350,7388,35
7291,7245,2
7575,7057,16
7168,7576,33
7178,7261,1
7536,7320,3
7668,7274,16
7100,7462,83
7067,7207,5
7124,7077,5
7237,7141,21
7534,7473,7
7178,7202,6
7198,7323,1
7025,7100,22
7104,7034,6
7575,7384,23
7096,7543,6
7191,7437,21
7260,7458,17
7076,7203,250
7073,7203,64
7452,7055,17
7050,7016,2
7192,7284,1
7256,7599,24
7399,7100,26
7596,7332,3
7130,7140,18
7211,7534,37
7059,7321,86
7121,7269,18
7061,7074,6
7199,7335,15
7311,7097,15
7409,7417,15
7191,7384,10
7324,7269,22
7291,7102,29
7668,7032,42
7538,7029,1
7575,7475,15
7260,7012,6
7168,7203,101
7026,7021,34
7316,7083,3
7168,7227,24
7348,7093,28
7001,7246,53
7285,7547,10
7099,7333,42
7022,7321,49
7143,7250,20
7530,7029,4
7104,7406,28
7006,7357,4
